5859231,3947.00,2019-02-19_15:36:53.437969
5859331,3949.00,2019-02-19_15:36:53.537703
5859431,3947.00,2019-02-19_15:36:53.639459
5859531,3951.00,2019-02-19_15:36:53.736172
5859631,3951.00,2019-02-19_15:36:53.839896
5859731,3953.00,2019-02-19_15:36:53.940626
5859831,3943.00,2019-02-19_15:36:54.037873
5859931,3943.00,2019-02-19_15:36:54.138642
5860031,3951.00,2019-02-19_15:36:54.243365
5860131,3947.00,2019-02-19_15:36:54.337111
5860231,3951.00,2019-02-19_15:36:54.437841
5860331,3949.00,2019-02-19_15:36:54.538612
5860431,3943.00,2019-02-19_15:36:54.637643
5860531,3943.00,2019-02-19_15:36:54.736048
5860631,3947.00,2019-02-19_15:36:54.840891
5860731,3951.00,2019-02-19_15:36:54.941849
5860831,3958.00,2019-02-19_15:36:55.037100
5860931,3947.00,2019-02-19_15:36:55.136595
5861031,3949.00,2019-02-19_15:36:55.237339
5861131,3951.00,2019-02-19_15:36:55.337326
5861231,3943.00,2019-02-19_15:36:55.438596
5861331,3947.00,2019-02-19_15:36:55.537810
5861431,3951.00,2019-02-19_15:36:55.641602
5861531,3947.00,2019-02-19_15:36:55.740268
5861631,3943.00,2019-02-19_15:36:55.839006
5861731,3947.00,2019-02-19_15:36:55.937739
5861831,3943.00,2019-02-19_15:36:56.040510
5861931,3949.00,2019-02-19_15:36:56.137243
5862031,3951.00,2019-02-19_15:36:56.238972
5862131,3952.00,2019-02-19_15:36:56.342700
5862231,3949.00,2019-02-19_15:36:56.437442
5862331,3943.00,2019-02-19_15:36:56.537173
5862431,3955.00,2019-02-19_15:36:56.638902
5862531,3951.00,2019-02-19_15:36:56.735678
5862631,3952.00,2019-02-19_15:36:56.839402
5862731,3951.00,2019-02-19_15:36:56.939034
5862831,3943.00,2019-02-19_15:36:57.037759
5862931,3947.00,2019-02-19_15:36:57.137483
5863031,3951.00,2019-02-19_15:36:57.236886
5863131,3951.00,2019-02-19_15:36:57.338615
5863231,3953.00,2019-02-19_15:36:57.437352
5863331,3955.00,2019-02-19_15:36:57.538081
5863431,3953.00,2019-02-19_15:36:57.637815
5863531,3947.00,2019-02-19_15:36:57.736551
5863631,3943.00,2019-02-19_15:36:57.837281
5863731,3943.00,2019-02-19_15:36:57.936896
5863831,3951.00,2019-02-19_15:36:58.037627
5863931,3953.00,2019-02-19_15:36:58.140398
5864031,3953.00,2019-02-19_15:36:58.237640
5864131,3952.00,2019-02-19_15:36:58.338370
5864231,3951.00,2019-02-19_15:36:58.437106
5864331,3951.00,2019-02-19_15:36:58.536839
5864431,3953.00,2019-02-19_15:36:58.637283
5864531,3952.00,2019-02-19_15:36:58.741655
5864631,3947.00,2019-02-19_15:36:58.837027
5864731,3951.00,2019-02-19_15:36:58.936761
5864831,3951.00,2019-02-19_15:36:59.038722
5864931,3953.00,2019-02-19_15:36:59.142622
5865031,3951.00,2019-02-19_15:36:59.237220
5865131,3951.00,2019-02-19_15:36:59.337920
5865231,3952.00,2019-02-19_15:36:59.437654
5865331,3950.00,2019-02-19_15:36:59.537444
5865431,3951.00,2019-02-19_15:36:59.637122
5865531,3949.00,2019-02-19_15:36:59.736853
5865631,3951.00,2019-02-19_15:36:59.836586
5865731,3951.00,2019-02-19_15:36:59.937317
5865831,3951.00,2019-02-19_15:37:00.044032
5865931,3951.00,2019-02-19_15:37:00.137683
5866031,3954.00,2019-02-19_15:37:00.237419
5866131,3953.00,2019-02-19_15:37:00.336816
5866231,3951.00,2019-02-19_15:37:00.437737
5866331,3953.00,2019-02-19_15:37:00.535982
5866431,3953.00,2019-02-19_15:37:00.636716
5866531,3955.00,2019-02-19_15:37:00.737452
5866631,3953.00,2019-02-19_15:37:00.838182
5866731,3957.00,2019-02-19_15:37:00.937630
5866831,3953.00,2019-02-19_15:37:01.037364
5866931,3950.00,2019-02-19_15:37:01.137097
5867031,3952.00,2019-02-19_15:37:01.237861
5867131,3951.00,2019-02-19_15:37:01.337562
5867231,3951.00,2019-02-19_15:37:01.438292
5867331,3953.00,2019-02-19_15:37:01.539022
5867431,3955.00,2019-02-19_15:37:01.638809
5867531,3953.00,2019-02-19_15:37:01.737528
5867631,3951.00,2019-02-19_15:37:01.837786
