2018-11-26_12:38:56.610000,1070.00,1398.00
2018-11-26_12:38:56.720000,1385.00,1396.00
2018-11-26_12:38:56.921000,3871.00,1402.00
2018-11-26_12:38:57.056000,2437.00,1398.00
2018-11-26_12:38:57.146000,1105.00,1405.00
2018-11-26_12:38:57.288000,1978.00,1410.00
2018-11-26_12:38:57.394000,1328.00,1414.00
2018-11-26_12:38:57.450000,1118.00,1409.00
2018-11-26_12:38:57.550000,1999.00,1392.00
2018-11-26_12:38:57.661000,3871.00,1406.00
2018-11-26_12:38:57.792000,2295.00,1412.00
2018-11-26_12:38:57.920000,1366.00,1401.00
2018-11-26_12:38:58.071000,1712.00,1407.00
2018-11-26_12:38:58.222000,1138.00,1411.00
2018-11-26_12:38:58.374000,1200.00,1360.00
2018-11-26_12:38:58.497000,1372.00,1408.00
2018-11-26_12:38:58.639000,3875.00,1436.00
2018-11-26_12:38:58.772000,3259.00,1405.00
2018-11-26_12:38:58.910000,1427.00,1433.00
2018-11-26_12:38:59.019000,1723.00,1410.00
2018-11-26_12:38:59.107000,1236.00,1396.00
2018-11-26_12:38:59.228000,1162.00,1398.00
2018-11-26_12:38:59.421000,1337.00,1407.00
2018-11-26_12:38:59.629000,1264.00,1397.00
2018-11-26_12:38:59.723000,1264.00,1418.00
2018-11-26_12:38:59.870000,3875.00,1394.00
2018-11-26_12:38:59.995000,2847.00,1405.00
2018-11-26_12:39:00.082000,1276.00,1392.00
2018-11-26_12:39:00.162000,1824.00,1392.00
2018-11-26_12:39:00.279000,1246.00,1379.00
2018-11-26_12:39:00.391000,1008.00,1382.00
2018-11-26_12:39:00.481000,1271.00,1392.00
2018-11-26_12:39:00.574000,1239.00,1392.00
2018-11-26_12:39:00.696000,1506.00,1389.00
2018-11-26_12:39:00.820000,3863.00,1378.00
2018-11-26_12:39:00.939000,1705.00,1377.00
2018-11-26_12:39:01.069000,1276.00,1369.00
2018-11-26_12:39:01.192000,1913.00,1385.00
2018-11-26_12:39:01.328000,1216.00,1369.00
2018-11-26_12:39:01.466000,1162.00,1371.00
2018-11-26_12:39:01.605000,1330.00,1369.00
2018-11-26_12:39:01.737000,2177.00,1373.00
2018-11-26_12:39:01.875000,3504.00,1378.00
2018-11-26_12:39:02.016000,1174.00,1374.00
2018-11-26_12:39:02.139000,1649.00,1383.00
2018-11-26_12:39:02.236000,1730.00,1377.00
2018-11-26_12:39:02.371000,1101.00,1379.00
