time,pulse,breath,gsr,datetime
"set(['b: 1459.00', 'p: 2687.00', 'g: 4095.00', '2018-10-31_16:35:53.774000', 't: 1193399'])"
"set(['t: 1193419', '2018-10-31_16:35:53.825000', 'b: 1456.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1193439', 'p: 2711.00', 'b: 1456.00', '2018-10-31_16:35:53.877000', 'g: 4095.00'])"
"set(['2018-10-31_16:35:53.929000', 'b: 1456.00', 't: 1193459', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1461.00', '2018-10-31_16:35:53.982000', 'g: 4095.00', 't: 1193479', 'p: 2687.00'])"
"set(['t: 1193499', 'b: 1459.00', '2018-10-31_16:35:54.035000', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 'b: 1456.00', '2018-10-31_16:35:54.089000', 't: 1193519', 'p: 2687.00'])"
"set(['b: 1456.00', 't: 1193539', '2018-10-31_16:35:54.144000', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:54.195000', 't: 1193559', 'b: 1456.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1456.00', 'p: 2687.00', '2018-10-31_16:35:54.234000', 'g: 4095.00', 't: 1193579'])"
"set(['g: 4095.00', 'b: 1457.00', 't: 1193599', '2018-10-31_16:35:54.276000', 'p: 2687.00'])"
"set(['2018-10-31_16:35:54.317000', 'b: 1456.00', 'p: 2691.00', 'g: 4095.00', 't: 1193619'])"
"set(['b: 1456.00', '2018-10-31_16:35:54.356000', 't: 1193639', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:54.398000', 't: 1193659', 'b: 1456.00', 'p: 2687.00'])"
"set(['t: 1193679', 'b: 1442.00', 'g: 4095.00', '2018-10-31_16:35:54.451000', 'p: 2690.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:54.504000', 'b: 1441.00', 't: 1193699', 'p: 2687.00'])"
"set(['b: 1453.00', 't: 1193719', '2018-10-31_16:35:54.559000', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 'p: 2689.00', '2018-10-31_16:35:54.611000', 't: 1193739', 'b: 1431.00'])"
"set(['b: 1437.00', 'p: 2687.00', 'g: 4095.00', '2018-10-31_16:35:54.665000', 't: 1193759'])"
"set(['t: 1193779', '2018-10-31_16:35:54.722000', 'g: 4095.00', 'b: 1440.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:54.779000', 't: 1193799', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['p: 2707.00', 't: 1193819', 'g: 4095.00', 'b: 1441.00', '2018-10-31_16:35:54.827000'])"
"set(['b: 1442.00', '2018-10-31_16:35:54.865000', 'g: 4095.00', 't: 1193839', 'p: 2687.00'])"
"set(['t: 1193859', 'b: 1443.00', 'p: 2691.00', 'g: 4095.00', '2018-10-31_16:35:54.912000'])"
"set(['p: 2689.00', 't: 1193879', 'g: 4095.00', '2018-10-31_16:35:54.966000', 'b: 1440.00'])"
"set(['2018-10-31_16:35:55.020000', 't: 1193899', 'g: 4095.00', 'b: 1438.00', 'p: 2687.00'])"
"set(['t: 1193919', '2018-10-31_16:35:55.074000', 'g: 4095.00', 'b: 1440.00', 'p: 2687.00'])"
"set(['g: 4095.00', 'p: 2687.00', '2018-10-31_16:35:55.118000', 'b: 1455.00', 't: 1193939'])"
"set(['g: 4095.00', 'b: 1453.00', 't: 1193959', '2018-10-31_16:35:55.152000', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.184000', 'b: 1456.00', 't: 1193979', 'g: 4095.00', 'p: 2687.00'])"
