['44339', '1828.00', '1200.00', '4095.00', '2018-11-01_14:44:40.788586']
['44359', '1827.00', '1194.00', '4095.00', '2018-11-01_14:44:40.840719']
['44379', '1839.00', '1193.00', '4095.00', '2018-11-01_14:44:40.890767']
['44399', '1839.00', '1194.00', '4095.00', '2018-11-01_14:44:40.940903']
['44419', '1840.00', '1196.00', '4095.00', '2018-11-01_14:44:40.992003']
['44439', '1835.00', '1192.00', '4095.00', '2018-11-01_14:44:41.041402']
['44459', '1832.00', '1194.00', '4095.00', '2018-11-01_14:44:41.094179']
['44479', '1837.00', '1192.00', '4095.00', '2018-11-01_14:44:41.145252']
['44499', '1837.00', '1193.00', '4095.00', '2018-11-01_14:44:41.197786']
['44519', '1837.00', '1193.00', '4095.00', '2018-11-01_14:44:41.248418']
['44539', '1833.00', '1194.00', '4095.00', '2018-11-01_14:44:41.294562']
['44559', '1829.00', '1195.00', '4095.00', '2018-11-01_14:44:41.330712']
['44579', '1827.00', '1194.00', '4095.00', '2018-11-01_14:44:41.369431']
['44599', '1831.00', '1195.00', '4095.00', '2018-11-01_14:44:41.420034']
['44619', '1834.00', '1193.00', '4095.00', '2018-11-01_14:44:41.471083']
['44639', '1834.00', '1194.00', '4095.00', '2018-11-01_14:44:41.525198']
['44659', '1831.00', '1195.00', '4095.00', '2018-11-01_14:44:41.575241']
['44679', '1826.00', '1197.00', '4095.00', '2018-11-01_14:44:41.625338']
['44699', '1813.00', '1197.00', '4095.00', '2018-11-01_14:44:41.676924']
['44719', '1829.00', '1196.00', '4095.00', '2018-11-01_14:44:41.727514']
['44739', '1854.00', '1195.00', '4095.00', '2018-11-01_14:44:41.779601']
['44759', '1842.00', '1193.00', '4095.00', '2018-11-01_14:44:41.830188']
['44779', '1837.00', '1198.00', '4095.00', '2018-11-01_14:44:41.882278']
['44799', '1843.00', '1200.00', '4095.00', '2018-11-01_14:44:41.932364']
['44819', '1829.00', '1203.00', '4095.00', '2018-11-01_14:44:41.983012']
['44839', '1835.00', '1194.00', '4095.00', '2018-11-01_14:44:42.033548']
['44859', '1840.00', '1196.00', '4095.00', '2018-11-01_14:44:42.083677']
['44879', '1829.00', '1196.00', '4095.00', '2018-11-01_14:44:42.135788']
['44899', '1826.00', '1187.00', '4095.00', '2018-11-01_14:44:42.186351']
['44919', '1834.00', '1187.00', '4095.00', '2018-11-01_14:44:42.236948']
['44939', '1835.00', '1194.00', '4095.00', '2018-11-01_14:44:42.289224']
['44959', '1839.00', '1190.00', '4095.00', '2018-11-01_14:44:42.341067']
['44979', '1838.00', '1196.00', '4095.00', '2018-11-01_14:44:42.392653']
['44999', '1825.00', '1194.00', '4095.00', '2018-11-01_14:44:42.444239']
['45019', '1839.00', '1184.00', '4095.00', '2018-11-01_14:44:42.495816']
['45039', '1831.00', '1197.00', '4095.00', '2018-11-01_14:44:42.546910']
['45059', '1827.00', '1185.00', '4095.00', '2018-11-01_14:44:42.598048']
['45079', '1840.00', '1190.00', '4095.00', '2018-11-01_14:44:42.648152']
['45099', '1835.00', '1196.00', '4095.00', '2018-11-01_14:44:42.699187']
['45119', '1839.00', '1194.00', '4095.00', '2018-11-01_14:44:42.748397']
['45139', '1831.00', '1166.00', '4095.00', '2018-11-01_14:44:42.799907']
['45159', '1856.00', '1190.00', '4095.00', '2018-11-01_14:44:42.850459']
['45179', '1837.00', '1191.00', '4095.00', '2018-11-01_14:44:42.902045']
['45199', '1829.00', '1195.00', '4095.00', '2018-11-01_14:44:42.952638']
['45219', '1831.00', '1193.00', '4095.00', '2018-11-01_14:44:43.003725']
['45239', '1839.00', '1200.00', '4095.00', '2018-11-01_14:44:43.052866']
['45259', '1834.00', '1190.00', '4095.00', '2018-11-01_14:44:43.103916']
['45279', '1838.00', '1196.00', '4095.00', '2018-11-01_14:44:43.154010']
['45299', '1834.00', '1190.00', '4095.00', '2018-11-01_14:44:43.204198']
['45319', '1829.00', '1195.00', '4095.00', '2018-11-01_14:44:43.254206']
['45339', '1838.00', '1211.00', '4095.00', '2018-11-01_14:44:43.304294']
['45359', '1840.00', '1191.00', '4095.00', '2018-11-01_14:44:43.355882']
['45379', '1837.00', '1190.00', '4095.00', '2018-11-01_14:44:43.406475']
['45399', '1831.00', '1191.00', '4095.00', '2018-11-01_14:44:43.458105']
['45419', '1835.00', '1187.00', '4095.00', '2018-11-01_14:44:43.507707']
['45439', '1842.00', '1191.00', '4095.00', '2018-11-01_14:44:43.557794']
['45459', '1836.00', '1189.00', '4095.00', '2018-11-01_14:44:43.609836']
['45479', '1837.00', '1200.00', '4095.00', '2018-11-01_14:44:43.661966']
['45499', '1835.00', '1193.00', '4095.00', '2018-11-01_14:44:43.713004']
['45519', '1839.00', '1191.00', '4095.00', '2018-11-01_14:44:43.765087']
['45539', '1835.00', '1187.00', '4095.00', '2018-11-01_14:44:43.814685']
['45559', '1835.00', '1195.00', '4095.00', '2018-11-01_14:44:43.866763']
['45579', '1835.00', '1194.00', '4095.00', '2018-11-01_14:44:43.917355']
['45599', '1840.00', '1194.00', '4095.00', '2018-11-01_14:44:43.968942']
['45619', '1829.00', '1195.00', '4095.00', '2018-11-01_14:44:44.019035']
['45639', '1829.00', '1194.00', '4095.00', '2018-11-01_14:44:44.069627']
['45659', '1839.00', '1198.00', '4095.00', '2018-11-01_14:44:44.120219']
['45679', '1837.00', '1194.00', '4095.00', '2018-11-01_14:44:44.169352']
['45699', '1839.00', '1198.00', '4095.00', '2018-11-01_14:44:44.218428']
['45719', '1829.00', '1200.00', '4095.00', '2018-11-01_14:44:44.269068']
['45739', '1834.00', '1198.00', '4095.00', '2018-11-01_14:44:44.319612']
['45759', '1840.00', '1197.00', '4095.00', '2018-11-01_14:44:44.369707']
['45779', '1837.00', '1199.00', '4095.00', '2018-11-01_14:44:44.420840']
['45799', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:44.471883']
['45819', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:44.522524']
['45839', '1834.00', '1197.00', '4095.00', '2018-11-01_14:44:44.571578']
['45859', '1827.00', '1197.00', '4095.00', '2018-11-01_14:44:44.622721']
['45879', '1835.00', '1198.00', '4095.00', '2018-11-01_14:44:44.673258']
['45899', '1827.00', '1194.00', '4095.00', '2018-11-01_14:44:44.722905']
['45919', '1840.00', '1193.00', '4095.00', '2018-11-01_14:44:44.772993']
['45939', '1831.00', '1194.00', '4095.00', '2018-11-01_14:44:44.824191']
['45959', '1834.00', '1194.00', '4095.00', '2018-11-01_14:44:44.874135']
['45979', '1840.00', '1193.00', '4095.00', '2018-11-01_14:44:44.924291']
['45999', '1840.00', '1194.00', '4095.00', '2018-11-01_14:44:44.975373']
['46019', '1839.00', '1194.00', '4095.00', '2018-11-01_14:44:45.027954']
['46039', '1831.00', '1196.00', '4095.00', '2018-11-01_14:44:45.077996']
['46059', '1831.00', '1196.00', '4095.00', '2018-11-01_14:44:45.129577']
['46079', '1840.00', '1194.00', '4095.00', '2018-11-01_14:44:45.181688']
['46099', '1831.00', '1192.00', '4095.00', '2018-11-01_14:44:45.232253']
['46119', '1837.00', '1200.00', '4095.00', '2018-11-01_14:44:45.282844']
['46139', '1834.00', '1194.00', '4095.00', '2018-11-01_14:44:45.332983']
['46159', '1828.00', '1193.00', '4095.00', '2018-11-01_14:44:45.383586']
['46179', '1826.00', '1195.00', '4095.00', '2018-11-01_14:44:45.435160']
['46199', '1825.00', '1197.00', '4095.00', '2018-11-01_14:44:45.487241']
['46219', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:45.539769']
['46239', '1840.00', '1201.00', '4095.00', '2018-11-01_14:44:45.592887']
['46259', '1829.00', '1199.00', '4095.00', '2018-11-01_14:44:45.644922']
['46279', '1834.00', '1212.00', '4095.00', '2018-11-01_14:44:45.696015']
['46299', '1835.00', '1200.00', '4095.00', '2018-11-01_14:44:45.747150']
